Designator,Mid X,Mid Y,Rotation,Layer
D1,45.38,-41.8,90.0,bottom
D10,216.83,-41.8,90.0,bottom
D11,235.88,-41.8,90.0,bottom
D12,254.93,-41.8,90.0,bottom
D13,273.98,-41.8,90.0,bottom
D14,302.555,-41.8,90.0,bottom
D15,316.57,-41.8,90.0,bottom
D16,50.1425,-60.85,90.0,bottom
D17,73.955,-60.85,90.0,bottom
D18,93.005,-60.85,90.0,bottom
D19,112.055,-60.85,90.0,bottom
D2,64.43,-41.8,90.0,bottom
D20,131.105,-60.85,90.0,bottom
D21,150.155,-60.85,90.0,bottom
D22,169.205,-60.85,90.0,bottom
D23,188.255,-60.85,90.0,bottom
D24,207.305,-60.85,90.0,bottom
D25,226.355,-60.85,90.0,bottom
D26,245.405,-60.85,90.0,bottom
D27,264.455,-60.85,90.0,bottom
D28,283.505,-60.85,90.0,bottom
D29,307.3175,-60.85,90.0,bottom
D3,83.48,-41.8,90.0,bottom
D30,316.57,-60.85,90.0,bottom
D31,57.575,-79.9,90.0,bottom
D32,78.7175,-79.9,90.0,bottom
D33,97.7675,-79.9,90.0,bottom
D34,116.8175,-79.9,90.0,bottom
D35,135.8675,-79.9,90.0,bottom
D36,154.9175,-79.9,90.0,bottom
D37,169.89375,-79.9,90.0,bottom
D38,174.79375,-79.9,90.0,bottom
D39,216.79375,-79.9,90.0,bottom
D4,102.53,-41.8,90.0,bottom
D40,231.1175,-79.9,90.0,bottom
D41,250.1675,-79.9,90.0,bottom
D42,269.2175,-79.9,90.0,bottom
D43,300.17375,-79.9,90.0,bottom
D44,316.57,-79.9,90.0,bottom
D45,57.28625,-98.95,90.0,bottom
D46,88.2425,-98.95,90.0,bottom
D47,107.2925,-98.95,90.0,bottom
D48,126.3425,-98.95,90.0,bottom
D49,145.3925,-98.95,90.0,bottom
D5,121.58,-41.8,90.0,bottom
D50,164.4425,-98.95,90.0,bottom
D51,183.4925,-98.95,90.0,bottom
D52,202.5425,-98.95,90.0,bottom
D53,221.5925,-98.95,90.0,bottom
D54,240.6425,-98.95,90.0,bottom
D55,259.6925,-98.95,90.0,bottom
D56,285.88625,-98.95,90.0,bottom
D57,312.08,-98.95,90.0,bottom
D58,316.57,-98.95,90.0,bottom
D59,53.575,-118.0,90.0,bottom
D6,140.63,-41.8,90.0,bottom
D60,77.575,-118.0,90.0,bottom
D61,101.575,-118.0,90.0,bottom
D62,184.575,-118.0,90.0,bottom
D63,238.26125,-118.0,90.0,bottom
D64,265.575,-118.0,90.0,bottom
D65,293.03,-118.0,90.0,bottom
D66,312.08,-118.0,90.0,bottom
D67,316.57,-118.0,90.0,bottom
D7,159.68,-41.8,90.0,bottom
D8,178.73,-41.8,90.0,bottom
D9,197.78,-41.8,90.0,bottom
H1,195.828723,-112.883559,0.0,bottom
RST1,170.1125,-67.3125,90.0,bottom
SW1,38.1,-38.1,0.0,top
SW10,209.55,-38.1,0.0,top
SW11,228.6,-38.1,0.0,top
SW12,247.65,-38.1,0.0,top
SW13,266.7,-38.1,0.0,top
SW14,295.275,-38.1,0.0,top
SW15,323.85,-38.1,0.0,top
SW16,42.8625,-57.15,0.0,top
SW17,66.675,-57.15,0.0,top
SW18,85.725,-57.15,0.0,top
SW19,104.775,-57.15,0.0,top
SW2,57.15,-38.1,0.0,top
SW20,123.825,-57.15,0.0,top
SW21,142.875,-57.15,0.0,top
SW22,161.925,-57.15,0.0,top
SW23,180.975,-57.15,0.0,top
SW24,200.025,-57.15,0.0,top
SW25,219.075,-57.15,0.0,top
SW26,238.125,-57.15,0.0,top
SW27,257.175,-57.15,0.0,top
SW28,276.225,-57.15,0.0,top
SW29,300.0375,-57.15,0.0,top
SW3,76.2,-38.1,0.0,top
SW30,323.85,-57.15,0.0,top
SW31,45.24375,-76.2,180.0,top
SW32,71.4375,-76.2,0.0,top
SW33,90.4875,-76.2,0.0,top
SW34,109.5375,-76.2,0.0,top
SW35,128.5875,-76.2,0.0,top
SW36,147.6375,-76.2,0.0,top
SW37,166.6875,-76.2,0.0,top
SW38,185.7375,-76.2,0.0,top
SW39,204.7875,-76.2,0.0,top
SW4,95.25,-38.1,0.0,top
SW40,223.8375,-76.2,0.0,top
SW41,242.8875,-76.2,0.0,top
SW42,261.9375,-76.2,0.0,top
SW43,292.89375,-76.2,0.0,top
SW44,323.85,-76.2,0.0,top
SW45,50.00625,-95.25,0.0,top
SW46,80.9625,-95.25,0.0,top
SW47,100.0125,-95.25,0.0,top
SW48,119.0625,-95.25,0.0,top
SW49,138.1125,-95.25,0.0,top
SW5,114.3,-38.1,0.0,top
SW50,157.1625,-95.25,0.0,top
SW51,176.2125,-95.25,0.0,top
SW52,195.2625,-95.25,0.0,top
SW53,214.3125,-95.25,0.0,top
SW54,233.3625,-95.25,0.0,top
SW55,252.4125,-95.25,0.0,top
SW56,278.60625,-95.25,0.0,top
SW57,304.8,-95.25,0.0,top
SW58,323.85,-95.25,0.0,top
SW59,40.48125,-114.3,0.0,top
SW6,133.35,-38.1,0.0,top
SW60,64.29375,-114.3,0.0,top
SW61,88.10625,-114.3,0.0,top
SW62,159.54375,-114.3,0.0,top
SW63,230.98125,-114.3,0.0,top
SW64,254.79375,-114.3,180.0,top
SW65,285.75,-114.3,0.0,top
SW66,304.8,-114.3,0.0,top
SW67,323.85,-114.3,0.0,top
SW68,42.8625,-114.3,180.0,top
SW69,66.675,-114.3,180.0,top
SW7,152.4,-38.1,0.0,top
SW70,90.4875,-114.3,180.0,top
SW71,171.45,-114.3,180.0,top
SW72,252.4125,-114.3,0.0,top
SW73,40.48125,-76.2,0.0,top
SW8,171.45,-38.1,0.0,top
SW9,190.5,-38.1,0.0,top
U1,197.16375,-75.58,0.0,top
